job_id,job_title,company_name,company_state,salary_range,remote_ratio,employment_type,experience_level,company_size,image_link,employees,salary,original_title,L,M,S
3775683541,6,goop,CA,,100,3,4,L,https://media.licdn.com/dms/image/D560BAQEuXX5sW7EgDA/company-logo_100_100/0/1667506305560/goop__logo?e=1709769600&v=beta&t=Oux-O8qu5Wy5Q_oxe6J1y_1g5tPtqOkC8K_9Qk6uS_Q,De 201 a 500 empleados,,Data Scientist,1.0,0.0,0.0
3775683819,5,Ford Motor Company,USA,,100,3,4,L,https://media.licdn.com/dms/image/C560BAQHZnQf3t8fKKg/company-logo_100_100/0/1630670609155/ford_motor_company_logo?e=1709164800&v=beta&t=R33YdefRyW6N9b7o2xiaodVIiUfDQd_VS4Koo8sXBJA,Más de 10.001 empleados,,Data Engineer,1.0,0.0,0.0
3776194615,3,WayUp,IL,,0,1,0,M,https://media.licdn.com/dms/image/D560BAQEdb-SvDpZjWA/company-logo_100_100/0/1688417909568/wayup_logo?e=1709769600&v=beta&t=8GknBSK6TrkwmmSQJUJHK36S0oULFf0EFBuxC-ObFsQ,De 51 a 200 empleados,,"Elevance Health, Business Analyst Internship - Summer 2024, Undergraduate - Application via WayUp",0.0,1.0,0.0
3776278514,9,"UES, An Eqlipse Company",OH,,0,1,0,L,https://media.licdn.com/dms/image/D560BAQG8zW1FTlCxdw/company-logo_100_100/0/1693326297689/ues_inc_dayton_logo?e=1709769600&v=beta&t=cppZBNpQ--KIl_ea3JfMyALLJ8bq6ejgstWVhm7apxk,De 501 a 1.000 empleados,,Research Engineer – AI/ML Design for Manufacturing,1.0,0.0,0.0
3776286837,4,Ortho Molecular Products,IL,,0,1,0,L,https://media.licdn.com/dms/image/C4D0BAQFm3AundWmVFQ/company-logo_100_100/0/1630558430960/ortho_molecular_products_logo?e=1709769600&v=beta&t=Rii_cV9VygYfB7FhKA-wL3H28xrZO34-trnA0EBzYtA,De 201 a 500 empleados,,Data Analyst I,1.0,0.0,0.0
3776354337,9,Lily AI,CA,,0,1,0,M,https://media.licdn.com/dms/image/C560BAQEsQDJj7DWW_g/company-logo_100_100/0/1648828391055/lilyai_logo?e=1709769600&v=beta&t=SgIRwnCqin1xJZ_uz32Z_GsT7NZDHoPMdcB9vJZ9r-s,De 51 a 200 empleados,,Senior Machine Learning Engineer,0.0,1.0,0.0
3776363876,9,"Varsity Tutors, a Nerdy Company",MA,,0,1,0,L,https://media.licdn.com/dms/image/C4E0BAQGv6PHLXLhQiA/company-logo_100_100/0/1630580521873/varsity_tutors_llc_logo?e=1709769600&v=beta&t=I_jDzfN6dwHvvzswKdhEuJTK2ZbO51-gvrXUIc08g-o,De 501 a 1.000 empleados,,Springfield Machine Learning Tutor,1.0,0.0,0.0
3776395041,4,"Stanley Black & Decker, Inc.",USA,,0,1,0,L,https://media.licdn.com/dms/image/C4D0BAQE5ahBMliaRVw/company-logo_100_100/0/1631339258852?e=1709769600&v=beta&t=q0hTchK38s7UwvOXp4NUhQv2lVxO39d8TzJ7BBirIrw,Más de 10.001 empleados,,Senior Supply Chain Analytics Data Analyst,1.0,0.0,0.0
3776948509,6,HustleWing - Side hustles for professionals,USA,,100,3,4,S,https://media.licdn.com/dms/image/D560BAQH7LlrOk8dY5g/company-logo_100_100/0/1688132776463/hustlewing_logo?e=1709769600&v=beta&t=v5GIR-e7IxM2-83mRYLt2QirU8bmdX_5tG9BL6Z20ds,Entre 1 y 10 empleados,,Data Scientist,0.0,0.0,1.0
3776952405,6,Forsyth Barnes,USA,,100,3,4,M,https://media.licdn.com/dms/image/C4E0BAQGj4Kta6gH-xg/company-logo_100_100/0/1657910302075/forsythbarnes_logo?e=1709769600&v=beta&t=HTdAHmTsrxCPJJv68BwnfIJz31L5V6kZ2oekhLIRABg,De 51 a 200 empleados,,Senior Data Scientist,0.0,1.0,0.0
3776964034,4,Webologix Ltd/ INC,CA,,100,1,0,M,https://media.licdn.com/dms/image/C510BAQHq7dnji3N96A/company-logo_100_100/0/1630626269907/webologix_logo?e=1709769600&v=beta&t=EvI6qwXawSzvNJKm-D50nBtvVxzECbCqmha9F9YHyrk,De 51 a 200 empleados,,Data Analyst,0.0,1.0,0.0
3776969904,5,Webologix Ltd/ INC,CA,,100,1,0,M,https://media.licdn.com/dms/image/C510BAQHq7dnji3N96A/company-logo_100_100/0/1630626269907/webologix_logo?e=1709769600&v=beta&t=EvI6qwXawSzvNJKm-D50nBtvVxzECbCqmha9F9YHyrk,De 51 a 200 empleados,,Data Engineer,0.0,1.0,0.0
3776973020,9,Trident Consulting,TX,,100,1,0,M,https://media.licdn.com/dms/image/C560BAQHxvk-OnZLPhw/company-logo_100_100/0/1630648727513/tridentconsulting_logo?e=1709769600&v=beta&t=bemYnT8rXUu-3-vLnDmSdaTCKVFd5SbDPS859A9iLUc,De 51 a 200 empleados,,Machine Learning Engineer,0.0,1.0,0.0
3776998906,2,Cygnus Professionals Inc.,USA,,100,1,0,L,https://media.licdn.com/dms/image/C4E0BAQHa-ZTS-YAUjQ/company-logo_100_100/0/1630597151627/cygnus_professionals_inc__logo?e=1709769600&v=beta&t=TiAeGTMOAY6kLmo_lqxh5cXZzgfiDOGColIhactRH5Y,De 501 a 1.000 empleados,,Artificial Intelligence Engineer,1.0,0.0,0.0
3777101396,4,New York State Department of Health,NY,,100,1,0,L,https://media.licdn.com/dms/image/C510BAQF1ADam6-UgVw/company-logo_100_100/0/1631366965327?e=1709769600&v=beta&t=fVVrGVt0Pk7YTIv1uv7a-Owfxlr3pJ9uTZMZYg3slJ4,De 5.001 a 10.000 empleados,,"Data Analyst 2 - 07276, 07277",1.0,0.0,0.0
