job_id,job_title,company_name,company_state,remote_ratio,employment_type,experience_level,company_size,image_link,employees,company_services,salary,min,max,original_title
3581047688,Data Analyst,Monster Energy,GA,Remote,Full-time,Entry level,L,https://media.licdn.com/dms/image/C560BAQGt1iKQ9aTiBQ/company-logo_100_100/0/1648228339621/monsterenergy_logo?e=1712188800&v=beta&t=NmUYXYca44a7BXaqdMDrWEK_l4SZFqwG5OiCDsjLpVw,"1,001-5,000 employees",Food and Beverage Services,47491.2,39360.0,55622.399999999994,Transportation Data Analyst - REMOTE
3581264431,Business Analyst,HireTalent - Diversity Staffing & Recruiting Firm,PA,,Contract,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQHehObDjpdjFA/company-logo_100_100/0/1631375739932?e=1712188800&v=beta&t=KNqzhkjfg1QxT0mISOv318INhVgr5t_sfwoVHApdl8I,"501-1,000 employees",Staffing and Recruiting,,,,Business Analyst I #: 20-01596
3581265275,Business Analyst,HireTalent - Diversity Staffing & Recruiting Firm,PA,,Contract,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQHehObDjpdjFA/company-logo_100_100/0/1631375739932?e=1712188800&v=beta&t=KNqzhkjfg1QxT0mISOv318INhVgr5t_sfwoVHApdl8I,"501-1,000 employees",Staffing and Recruiting,,,,Business Analyst I #: 20-01595
3581265276,Business Analyst,HireTalent - Diversity Staffing & Recruiting Firm,NY,On-site,Contract,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQHehObDjpdjFA/company-logo_100_100/0/1631375739932?e=1712188800&v=beta&t=KNqzhkjfg1QxT0mISOv318INhVgr5t_sfwoVHApdl8I,"501-1,000 employees",Staffing and Recruiting,,,,Business Analyst I #: 20-01597
3584070405,Senior Data Scientist,Alo Yoga,CA,On-site,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQHUIAblW0luTw/company-logo_100_100/0/1630663534885/alo_yoga_logo?e=1712188800&v=beta&t=hd-NNHPmzz1VPch0QE7w470-RWiBNPOgFlzNefGqeUE,"501-1,000 employees",Retail Apparel and Fashion,180000.0,160000.0,200000.0,Senior Data Scientist
3584828373,Senior Data Architect,Creighton University,NE,On-site,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/D560BAQFJRMQgObKs_w/company-logo_100_100/0/1696277837051/creightonuniversity_logo?e=1712188800&v=beta&t=qgJmCRUqVxAWhgQXTYdBpl43kLhLZDZAq2vg6_G0Hxg,"5,001-10,000 employees",Higher Education,,,,Senior Data Architect
3587150552,Business Analyst,Public Consulting Group,VA,Remote,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C4E0BAQHbfiWr4LHVJA/company-logo_100_100/0/1630602491796/public_consulting_group_logo?e=1712188800&v=beta&t=DdrG92DiOyer22Z4TaKb-YxO7xzImOQwvEojbVCmilA,"1,001-5,000 employees",Professional Services,,,,Business Analyst
3587155029,Business Analyst,Public Consulting Group,PA,Remote,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C4E0BAQHbfiWr4LHVJA/company-logo_100_100/0/1630602491796/public_consulting_group_logo?e=1712188800&v=beta&t=DdrG92DiOyer22Z4TaKb-YxO7xzImOQwvEojbVCmilA,"1,001-5,000 employees",Professional Services,,,,Business Analyst
3590624684,Business Analyst,Crane Company,TX,On-site,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C4D0BAQGtjOzsmYxn5Q/company-logo_100_100/0/1631342586791?e=1712188800&v=beta&t=imNxxZMxWRCU-iSMlNz99Ytu0TKLoVTfB8-yDO5v-Zw,"5,001-10,000 employees",Manufacturing,,,,Product Business Analyst
3591494057,Business Analyst,Kansas City Public Schools,KS,On-site,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C4E0BAQGB-84EKqF7xQ/company-logo_100_100/0/1631352239656?e=1712188800&v=beta&t=NXXa5svooimqnMm3EToyKGkUKtqQaDqu2ZAb6jV0GRs,"1,001-5,000 employees",Primary and Secondary Education,51100.799999999996,40320.0,61881.59999999999,School Business Analyst-02191
