job_id,job_title,company_name,company_state,salary_range,remote_ratio,employment_type,experience_level,company_size,image_link
3636799852,Junior Data Engineer II,"Kiss Products, Inc.","· Port Washington, NY",65.000 $/año - 185.000 $/año,Presencial,Jornada completa,Sin experiencia,De 501 a 1.000 empleados · Fabricación de productos de cuidado personal,https://media.licdn.com/dms/image/C4D0BAQFzrgCXrGQiVA/company-logo_100_100/0/1631326260389?e=1709769600&v=beta&t=h0XiO_84LP87t6OA8blI783fDn0_dhIV3gISevMito4
3637393456,Data Scientist,U.S. News & World Report,"· Washington, DC",65.000 $/año - 185.000 $/año,Presencial,Jornada completa,Sin experiencia,De 501 a 1.000 empleados · Publicaciones en línea,https://media.licdn.com/dms/image/C4D0BAQFx03wF1TAL_w/company-logo_100_100/0/1630521065963/us_news__world_report_logo?e=1709769600&v=beta&t=9Lc-KzTMwyxxndYsk43NyPIcfvIHkn9ProKdNnBcohU
3641444189,Snowflake DataEngineer,Anblicks,"· Dallas, TX",65.000 $/año - 185.000 $/año,Presencial,Jornada completa,Sin experiencia,De 501 a 1.000 empleados · Servicios y consultoría de TI,https://media.licdn.com/dms/image/C4D0BAQFUlX1iwzsrIw/company-logo_100_100/0/1670225110304/anblicks_logo?e=1709769600&v=beta&t=HBcoRzZLzPTDfdGfT-f_USVPhuxLD0p53D2j8pMzoo0
3641793748,Machine Learning Engineer,CoVar,"· Durham, NC",65.000 $/año - 185.000 $/año,Presencial,Jornada completa,Sin experiencia,De 11 a 50 empleados · Departamento de defensa y del espacio exterior,https://media.licdn.com/dms/image/C560BAQEMCAG0AEhs6Q/company-logo_100_100/0/1630662375937/covar_applied_technologies_inc_logo?e=1709769600&v=beta&t=-JAH3VqyRTXnvClMQPmICjiKAQlgoKgHqgr1mV8ejAM
3645971561,Onsite Opportunity for Data Engineer with D365 -  Only USC and GC candidates- Chicago IL,ISmile Technologies,· Estados Unidos,65.000 $/año - 185.000 $/año,Presencial,Jornada completa,Sin experiencia,De 51 a 200 empleados · Servicios y consultoría de TI,https://media.licdn.com/dms/image/C4D0BAQHWoICEazxpjQ/company-logo_100_100/0/1656685300948/ismiletechnologies_logo?e=1709769600&v=beta&t=8s_MpUku_U1COPTuPQN1WRv_N0X6iIonVWkRZKl-e9I
3646247227,Deep Learning Researcher,Topaz Labs,"· Dallas, TX",65.000 $/año - 185.000 $/año,Presencial,Jornada completa,Sin experiencia,De 51 a 200 empleados · Servicios y consultoría de TI,https://media.licdn.com/dms/image/C560BAQHmvdWAlOXuig/company-logo_100_100/0/1676397740122/topaz_labs_logo?e=1709769600&v=beta&t=AaIh3GA_hsCjwF6YLnZShJ_-3qasCRul_HrfdCPurXc
3647815774,Deep Learning Engineer - US,Focal Systems,"· San Francisco, CA",65.000 $/año - 185.000 $/año,Presencial,Jornada completa,Sin experiencia,De 51 a 200 empleados · Comercio al por menor,https://media.licdn.com/dms/image/C560BAQHJIz3fihZJhw/company-logo_100_100/0/1630620056642/focal_systems_inc_logo?e=1709769600&v=beta&t=RVxkJMjO_OJ8fTlVywpMxD_FZysHJjx7XS_CBBfSHXU
3656659700,Deep Learning Research Engineer,Netradyne,"· San Diego, CA",145.000 $/año - 180.000 $/año,Híbrido,Jornada completa,Sin experiencia,De 501 a 1.000 empleados · Servicios y consultoría de TI,https://media.licdn.com/dms/image/C4D0BAQEHzMzLD8TXdw/company-logo_100_100/0/1630560495009/netradyne_logo?e=1709769600&v=beta&t=FsmvsyUnsa6vqwkUDCjrYR8kX4SXVT-xeU3GZQX7Xy0
3659214344,"W2 Contract- Long Term Hybrid Contract- Data Engineer Position at Dalla/Fort Worth, TX.",Software Technology Inc.,"· Fort Worth, TX",145.000 $/año - 180.000 $/año,Híbrido,Jornada completa,Sin experiencia,De 201 a 500 empleados · Servicios y tecnologías de la información,https://media.licdn.com/dms/image/C4D0BAQFKznTk0ymPgw/company-logo_100_100/0/1630559158313/software_technology_inc_logo?e=1709769600&v=beta&t=wFIbejGf_vfZTKTfuCemXpr37qfMCWK2Cr1mdJnEK5Q
3667526193,Machine Learning Research Scientist - Atlas Perception,Boston Dynamics,"· Waltham, MA",145.000 $/año - 180.000 $/año,Híbrido,Jornada completa,Sin experiencia,De 201 a 500 empleados · Fabricación de maquinaria de automatización,https://media.licdn.com/dms/image/C4E0BAQEZP090yDnBcw/company-logo_100_100/0/1631381406153/boston_dynamics_logo?e=1709164800&v=beta&t=ACsQ0cHAETD-YRclWNPx2W9UNbLV0S8o-fXngypf9_Y
3671328921,Computer Vision Engineer (Multimodal with Large Language Models),Alldus,"· San Francisco, CA",145.000 $/año - 180.000 $/año,Híbrido,Jornada completa,Sin experiencia,De 11 a 50 empleados · Dotación y selección de personal,https://media.licdn.com/dms/image/C4E0BAQHxi2IsZM8pRg/company-logo_100_100/0/1672750485379/alldus_logo?e=1709769600&v=beta&t=O3GXydkdl9zKS_vOibvot5bpQakdy99r-3tw_TZ1sBI
3674036289,"Jr. Data Scientist, Minerva Analytics",Amazon,"· San Diego, CA",145.000 $/año - 180.000 $/año,Híbrido,Jornada completa,Sin experiencia,Más de 10.001 empleados · Desarrollo de software,https://media.licdn.com/dms/image/C560BAQHTvZwCx4p2Qg/company-logo_100_100/0/1630640869849/amazon_logo?e=1709769600&v=beta&t=oHNap758G9ScyKdzB2Wv_Qzc55ZCbDiaTyvAG5yBHP8
3675232968,Data Scientist,ascena,· Estados Unidos,95.000 $/año - 130.000 $/año,En remoto,Jornada completa,Algo de responsabilidad,Más de 10.001 empleados · Comercio al por menor,https://media.licdn.com/dms/image/C4D0BAQFEs11p9KqPwQ/company-logo_100_100/0/1630561134340/ascena_retail_group_inc__logo?e=1709769600&v=beta&t=YQWf3hPTNdt2v25OKMergpAj7eDnUqOM1Nsbi1zoBwI
3679533631,Algorithm Engineer (Deep Learning/C++)(E),KLA,"· Ann Arbor, MI",95.000 $/año - 130.000 $/año,En remoto,Jornada completa,Algo de responsabilidad,Más de 10.001 empleados · Fabricación de semiconductores,https://media.licdn.com/dms/image/C560BAQF6F4zFyo4WzQ/company-logo_100_100/0/1656661447198/klacorp_logo?e=1709769600&v=beta&t=KWKHsSe_B5kBCJt1mVQFdpUJaN30q-b4Ng83iV0B0Ak
3680312613,Machine Learning AI Engineer/Scientist,CyberCoders,"· Raleigh, NC",100.000 $/año - 150.000 $/año,Presencial,Jornada completa,Intermedio,De 201 a 500 empleados · Dotación y selección de personal,https://media.licdn.com/dms/image/C560BAQF7t9X4k2P2hA/company-logo_100_100/0/1630672294143/cybercoders_logo?e=1709164800&v=beta&t=RDBZUtG7SkRFHALJt7oijy6jOOfKXcKUO5vJC9XtEiA
